Término	Taxonomía	Definición	Relacionados
Agile	Metodologías Ágiles	Metodología de desarrollo de software que enfatiza la flexibilidad, colaboración, y entregas iterativas rápidas.	Sprint, Backlog
Al vuelo	Coloquialismo	Realizar una tarea o tomar una decisión de manera rápida y/o improvisada, posiblemente sin planificación previa.	Bomberazo, Mods
Ambiente Dev	DevOps	Entorno en el que se desarrolla el software, antes de ser probado en QA.	Ambiente QA, Ambiente Prod
Ambiente Prod	DevOps	Entorno en el que se ejecuta la versión final de la aplicación, accesible a los usuarios finales.	Ambiente Dev, Ambiente QA
Ambiente QA	DevOps / Testing	Entorno en el que se realizan pruebas para asegurar la calidad de la aplicación antes de pasar a producción.	Ambiente Dev, Ambiente Prod
Ambientes en ecosistemas	Arquitectura de Software / DevOps	Entornos específicos (como Dev, QA, Prod) en los que se despliegan y prueban aplicaciones.	Ambiente QA, Ambiente Prod
Ambientes PRE-PROD, ESPEJO, SANDBOX	DevOps / Testing	Entornos que simulan el ambiente de producción para realizar pruebas antes de desplegar cambios.	Ambiente QA, Ambiente Dev
API	API y Servicios	Interfaz que permite la comunicación entre diferentes aplicaciones o servicios de software.	Endpoint, Middleware
AR-NET	Data Science / Machine Learning	Modelo de red neuronal diseñado para análisis de series temporales, combinando características de redes neuronales y métodos autoregresivos.	CNN, Modelo Multivariado
Azúcar sintáctica (syntatic sugar)	Desarrollo de Software	Característica del lenguaje de programación que facilita escribir código más claro y conciso sin agregar funcionalidad.	Operador morsa, Wildcard
Back-end	Desarrollo de Software / Arquitectura de Software	Parte de una aplicación que gestiona la lógica de negocio, bases de datos y las interacciones con la parte frontal.	Front-end, Full-stack
Backlog	Metodologías Ágiles	Lista priorizada de tareas, características y requerimientos pendientes por desarrollar en un proyecto.	Sprint, Spike
Backtesting	Data Science / Finanzas	Proceso de probar una estrategia de inversión utilizando datos históricos para evaluar su viabilidad.	Forecasting, Clustering
Base de datos	Bases de Datos	Conjunto organizado de datos almacenados electrónicamente en un sistema informático, accesibles para consultas y análisis.	Esquema de Base de datos, ETL
Blocker	Metodologías Ágiles	Obstáculo que impide el avance de un equipo en su trabajo.	Stopper, Sprint
Bomberazo	Coloquialismo	Tarea urgente que se realiza de manera improvisada y con poco tiempo para su planificación.	Mods, Al vuelo
Bootstrap	Desarrollo de Software / Framework	Framework de desarrollo front-end que facilita la creación rápida de interfaces web responsivas.	Framework, UX/UI
Bucket	Cloud Computing / Almacenamiento	Contenedor utilizado en servicios de almacenamiento en la nube para organizar y almacenar archivos o datos.	Imagen, SaaS
Caché	Optimización / Arquitectura de Software	Almacenamiento temporal de datos para acelerar su acceso futuro, evitando la necesidad de recalcular o recuperar información desde la fuente original.	Overhead, Pipeline
Causalidad	Data Science / Machine Learning	Relación entre causa y efecto donde una variable influye directamente en otra, diferenciándose de la simple correlación.	Correlación, Clustering
Ciclar	Desarrollo de Software	Proceso de repetir una acción o secuencia de código en un bucle.	Codear, Scrappear
Cluster	DevOps / Orquestación	Conjunto de servidores o nodos que trabajan juntos para proporcionar alta disponibilidad y escalabilidad.	Pod, Nodo
Clustering	Data Science / Machine Learning	Método de agrupación de datos en subconjuntos similares (clusters), utilizado en análisis exploratorio y modelos de machine learning.	Ensamble, Forecasting
CNN	Data Science / Machine Learning	Red Neuronal Convolucional; tipo de red neuronal diseñada para procesar datos con estructura de cuadrícula, como imágenes.	DNN, LLM
Codear	Coloquialismo / Desarrollo de Software	Acto de escribir código o programar.	Debuggear, Testear
Contenedor	DevOps / Orquestación	Unidad estándar de software que empaqueta el código y todas sus dependencias para que una aplicación se ejecute de manera uniforme en cualquier entorno.	Pod, Dockerizar
Correlación	Data Science / Machine Learning	Medida estadística que indica la relación entre dos variables, utilizada para entender patrones en los datos.	Causalidad, Clustering
Daily	Metodologías Ágiles	Reunión diaria breve en la que los miembros del equipo de desarrollo discuten su progreso y obstáculos.	Weekly, Sprint
Dashboard, tablero	Desarrollo de Software / Gestión de Proyectos	Interfaz visual que muestra métricas y datos clave sobre el estado de un proyecto o sistema.	Milestone, Stakeholders
